"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"1","Amide_DHA",7635,-0.0329308449804304,0.0129474444507199,0.0109983854760747,"lmer",0.0320206159430022
"2","C8_LPC.22.6.0.0",7634,-0.0567203793795206,0.0140151507427523,5.24061923349377e-05,"lmer",0.000502226009876486
"3","C8_PC.34.5",7632,-0.0472540947565473,0.0149485916149436,0.00157792140414739,"lmer",0.00697926774911347
"4","C8_PC.38.6",7634,-0.0532802572768846,0.0137394112268905,0.000106292384990111,"lmer",0.000881444233442141
"5","C8_PC.38.1",7633,-0.0629513059231476,0.0153402490519013,4.1089408219162e-05,"lmer",0.00041089408219162
"6","C8_PC.39.6",7633,-0.0434927380097212,0.0139700583532682,0.00185751122119658,"lmer",0.00746480044675484
"7","C8_PC.40.9",7634,-0.0590897095286022,0.0135746337953492,1.36199110471518e-05,"lmer",0.000170109182096379
"8","C8_PC.40.6",7634,-0.0490345923021372,0.0137477133546655,0.000363781822485593,"lmer",0.00207293766154462
"9","C8_PC.42.5",7633,-0.0325582821612294,0.0148141285283357,0.0279951465629676,"lmer",0.068057283334998
"10","C8_PC.O.38.6",7633,0.0170090444612201,0.0142313671347509,0.232056461275182,"lmer",0.360134654281356
"11","C8_PC.P.40.6.or.PC.O.40.7_B",7633,0.00981261865043079,0.0138631806704539,0.479081031883172,"lmer",0.63326803065017
"12","C8_PC.P.44.6.or.PC.O.44.7",7633,-0.0673100721079499,0.0135810007217013,7.35937749742869e-07,"lmer",1.6926568244086e-05
"13","C8_PC.P.46.6.or.PC.O.46.7",7633,-0.0581582346394545,0.0131475313875858,9.86299678589798e-06,"lmer",0.000141780578797283
"14","C8_PS.34.0",7633,-0.0470573893205142,0.0146200743561494,0.00129330506199681,"lmer",0.00594920328518531
"15","C8_SM.44.3.O2",7633,-0.0403752580603394,0.0138429246786654,0.0035488763204918,"lmer",0.012003552260487
"16","C8_SM.44.2.O2",7633,-0.0384965926768296,0.0140863238415016,0.00629320697050868,"lmer",0.0200608001476571
"17","C8_CE.22.6",7633,-0.0501130860595106,0.0133341617588217,0.000172468740910565,"lmer",0.00123961907529469
"18","C8_TG.52.8",7616,-0.0312127397874724,0.0149109949576975,0.0363590033281271,"lmer",0.0826307230842449
"19","C8_TG.52.7",7633,-0.0342811949539268,0.0151084451014941,0.0232965048351114,"lmer",0.058881275956875
"20","C8_TG.54.9",7608,-0.0422301086435564,0.0146905802429646,0.00405650212611898,"lmer",0.0135216737537299
"21","C8_TG.54.8",7633,-0.0490741038300064,0.0146123366663869,0.000787911695077579,"lmer",0.0040271042192854
"22","C8_TG.55.6",7634,-0.000898814828097284,0.0149942993465572,0.952202058629745,"lmer",0.956360146222015
"23","C8_TG.56.10",7631,-0.0448569899252629,0.0143365784441597,0.00176178144993394,"lmer",0.00735677563179613
"24","C8_TG.56.9",7633,-0.043631639729448,0.0138513877438536,0.00163944336046304,"lmer",0.00711051175046713
